Date,Open,Low,High,Close,Volume
"Nov 7, 2011",0.9,0.9,0.9,0.9,301
"Nov 8, 2011",0.9,0.6,0.9,0.6,350
"Nov 9, 2011",0.9,0.7,1.2,1,1329
"Nov 10, 2011",0.9,0.9,1,0.9,1036
"Nov 11, 2011",1,1,1.1,1,1002
"Nov 12, 2011",1.1,1,1.1,1,762
"Nov 13, 2011",1,0.9,1.1,0.9,1191
"Nov 14, 2011",0.9,0.9,1,0.9,275
"Nov 15, 2011",0.9,0.9,1.2,1.2,889
"Nov 16, 2011",1.2,1.1,1.2,1.2,536
"Nov 17, 2011",1.1,1.1,1.5,1.3,678
"Nov 18, 2011",1.3,0.9,1.3,1.1,1100
"Nov 19, 2011",1.1,1,1.1,1,896
"Nov 20, 2011",1.1,1.1,1.2,1.1,713
"Nov 21, 2011",1.1,1,1.1,1,72
"Nov 22, 2011",1.1,1.1,1.3,1.2,427
"Nov 23, 2011",1.2,1.1,1.3,1.1,418
"Nov 24, 2011",1.2,1.1,2,1.2,1904
"Nov 25, 2011",1.2,1.1,1.2,1.2,1200
"Nov 26, 2011",1.1,1.1,2,1.3,1952
"Nov 27, 2011",1.3,1.3,1.9,1.4,20
"Nov 28, 2011",1.3,1.3,1.4,1.3,175
"Nov 29, 2011",1.3,1.2,1.3,1.3,195
"Nov 30, 2011",1.4,1.2,1.9,1.5,1268
"Dec 1, 2011",1.5,1.4,1.6,1.5,1018
"Dec 2, 2011",1.4,1.4,1.5,1.5,960
"Dec 3, 2011",1.4,1.4,3,1.7,2519
